t_s,v_volt,is_amp,i_amp,q_coulomb,soc_percent,v_model_volt,residual_volt,power_watt
146,4.05260215866,0.334739784134,0.74,108.04,95.9444444444,4.05260215866,-1.29674049276e-13,2.99892559741
147,4.05205707801,0.334794292199,0.74,108.78,95.9166666667,4.05205707801,-8.17124146124e-14,2.99852223772
148,4.0515145912,0.33484854088,0.74,109.52,95.8888888889,4.0515145912,-1.27897692437e-13,2.99812079749
149,4.05097467866,0.334902532134,0.74,110.26,95.8611111111,4.05097467866,-1.32338584535e-13,2.99772126221
150,4.05043732097,0.334956267903,0.74,111,95.8333333333,4.05043732097,-9.59232693276e-14,2.99732361752
151,4.04990249884,0.335009750116,0.74,111.74,95.8055555556,4.04990249884,-1.04805053525e-13,2.99692784914
152,4.04937019313,0.335062980687,0.74,112.48,95.7777777778,4.04937019313,-9.50350909079e-14,2.99653394292
153,4.04884038486,0.335115961514,0.74,113.22,95.75,4.04884038486,-1.36779476634e-13,2.9961418848
154,4.04831305517,0.335168694483,0.74,113.96,95.7222222222,4.04831305517,-9.50350909079e-14,2.99575166083
155,4.04778818536,0.335221181464,0.74,114.7,95.6944444444,4.04778818536,-1.22568621919e-13,2.99536325717
156,4.04726575686,0.335273424314,0.74,115.44,95.6666666667,4.04726575686,-1.28785870857e-13,2.99497666008
157,4.04674575125,0.335325424875,0.74,116.18,95.6388888889,4.04674575125,-9.68114477473e-14,2.99459185593
158,4.04622815025,0.335377184975,0.74,116.92,95.6111111111,4.04622815025,-9.7699626167e-14,2.99420883118
159,4.04571293569,0.335428706431,0.74,117.66,95.5833333333,4.04571293569,-1.33226762955e-13,2.99382757241
160,4.04520008959,0.335479991041,0.74,118.4,95.5555555556,4.04520008959,-8.881784197e-14,2.99344806629
161,4.04468959405,0.335531040595,0.74,119.14,95.5277777778,4.04468959405,-8.70414851306e-14,2.9930702996
162,4.04418143134,0.335581856866,0.74,119.88,95.5,4.04418143134,-9.59232693276e-14,2.99269425919
163,4.04367558385,0.335632441615,0.74,120.62,95.4722222222,4.04367558385,-1.172395514e-13,2.99231993205
164,4.04317203411,0.335682796589,0.74,121.36,95.4444444444,4.04317203411,-9.32587340685e-14,2.99194730524
165,4.04267076478,0.335732923522,0.74,122.1,95.4166666667,4.04267076478,-1.10134124043e-13,2.99157636594
166,4.04217175865,0.335782824135,0.74,122.84,95.3888888889,4.04217175865,-8.881784197e-14,2.9912071014
167,4.04167499863,0.335832500137,0.74,123.58,95.3611111111,4.04167499863,-8.79296635503e-14,2.99083949899
168,4.04118046778,0.335881953222,0.74,124.32,95.3333333333,4.04118046778,-9.14823772291e-14,2.99047354616
169,4.04068814927,0.335931185073,0.74,125.06,95.3055555556,4.04068814927,-7.63833440942e-14,2.99010923046
170,4.0401980264,0.33598019736,0.74,125.8,95.2777777778,4.0401980264,-8.79296635503e-14,2.98974653954
171,4.03971008261,0.336028991739,0.74,126.54,95.25,4.03971008261,-6.83897383169e-14,2.98938546113
172,4.03922430145,0.336077569855,0.74,127.28,95.2222222222,4.03922430144,-9.7699626167e-14,2.98902598307
173,4.03874066659,0.336125933341,0.74,128.02,95.1944444444,4.03874066659,-7.9936057773e-14,2.98866809327
174,4.03825916183,0.336174083817,0.74,128.76,95.1666666667,4.03825916183,-9.32587340685e-14,2.98831177976
175,4.03777977112,0.336222022888,0.74,129.5,95.1388888889,4.03777977112,-8.61533067109e-14,2.98795703063
176,4.03730247847,0.336269752153,0.74,130.24,95.1111111111,4.03730247847,-7.01660951563e-14,2.98760383407
177,4.03682726807,0.336317273193,0.74,130.98,95.0833333333,4.03682726807,-6.75015598972e-14,2.98725217837
178,4.0363541242,0.33636458758,0.74,131.72,95.0555555556,4.0363541242,-1.06581410364e-13,2.98690205191
179,4.03588303125,0.336411696875,0.74,132.46,95.0277777778,4.03588303125,-7.37188088351e-14,2.98655344313
180,4.03541397376,0.336458602624,0.74,133.2,95,4.03541397376,-7.1054273576e-14,2.98620634058
181,4.03494693636,0.336505306364,0.74,133.94,94.9722222222,4.03494693636,-8.17124146124e-14,2.98586073291
182,4.0344819038,0.33655180962,0.74,134.68,94.9444444444,4.0344819038,-7.9936057773e-14,2.98551660881
183,4.03401886096,0.336598113904,0.74,135.42,94.9166666667,4.03401886096,-5.77315972805e-14,2.98517395711
184,4.03355779281,0.336644220719,0.74,136.16,94.8888888889,4.03355779281,-7.1054273576e-14,2.98483276668
185,4.03309868446,0.336690131554,0.74,136.9,94.8611111111,4.03309868446,-4.26325641456e-14,2.9844930265
186,4.03264152111,0.336735847889,0.74,137.64,94.8333333333,4.03264152111,-8.52651282912e-14,2.98415472562
187,4.03218628809,0.336781371191,0.74,138.38,94.8055555556,4.03218628809,-6.48370246381e-14,2.98381785318
188,4.03173297081,0.336826702919,0.74,139.12,94.7777777778,4.03173297081,-5.06261699229e-14,2.9834823984
189,4.03128155484,0.336871844516,0.74,139.86,94.75,4.03128155484,-3.90798504668e-14,2.98314835058
190,4.03083202581,0.336916797419,0.74,140.6,94.7222222222,4.03083202581,-7.63833440942e-14,2.9828156991
191,4.03038436949,0.336961563051,0.74,141.34,94.6944444444,4.03038436949,-8.26005930321e-14,2.98248443342
192,4.02993857175,0.337006142825,0.74,142.08,94.6666666667,4.02993857174,-7.63833440942e-14,2.98215454309
193,4.02949461854,0.337050538146,0.74,142.82,94.6388888889,4.02949461854,-4.79616346638e-14,2.98182601772
194,4.02905249597,0.337094750403,0.74,143.56,94.6111111111,4.02905249597,-7.81597009336e-14,2.98149884701
195,4.0286121902,0.33713878098,0.74,144.3,94.5833333333,4.0286121902,-6.12843109593e-14,2.98117302075
196,4.02817368753,0.337182631247,0.74,145.04,94.5555555556,4.02817368753,-7.19424519957e-14,2.98084852877
197,4.02773697434,0.337226302566,0.74,145.78,94.5277777778,4.02773697434,-3.90798504668e-14,2.98052536101
198,4.02730203714,0.337269796286,0.74,146.52,94.5,4.02730203714,-5.15143483426e-14,2.98020350749
199,4.02686886253,0.337313113747,0.74,147.26,94.4722222222,4.02686886253,-6.83897383169e-14,2.97988295827
200,4.02643743718,0.337356256282,0.74,148,94.4444444444,4.02643743718,-5.15143483426e-14,2.97956370352
201,4.02600774792,0.337399225208,0.74,148.74,94.4166666667,4.02600774792,-6.39488462184e-14,2.97924573346
202,4.02557978162,0.337442021838,0.74,149.48,94.3888888889,4.02557978162,-3.19744231092e-14,2.9789290384
203,4.0251535253,0.33748464747,0.74,150.22,94.3611111111,4.0251535253,-5.24025267623e-14,2.97861360872
204,4.02472896604,0.337527103396,0.74,150.96,94.3333333333,4.02472896604,-1.86517468137e-14,2.97829943487
205,4.02430609104,0.337569390896,0.74,151.7,94.3055555556,4.02430609104,-2.93098878501e-14,2.97798650737
206,4.02388488758,0.337611511242,0.74,152.44,94.2777777778,4.02388488758,-3.64153152077e-14,2.97767481681
207,4.02346534305,0.337653465695,0.74,153.18,94.25,4.02346534305,-1.42108547152e-14,2.97736435386
208,4.02304744493,0.337695255507,0.74,153.92,94.2222222222,4.02304744493,-1.95399252334e-14,2.97705510925
209,4.02263118079,0.337736881921,0.74,154.66,94.1944444444,4.02263118079,-3.90798504668e-14,2.97674707379
210,4.02221653831,0.337778346169,0.74,155.4,94.1666666667,4.02221653831,-4.35207425653e-14,2.97644023835
211,4.02180350524,0.337819649476,0.74,156.14,94.1388888889,4.02180350524,-1.24344978758e-14,2.97613459388
212,4.02139206943,0.337860793057,0.74,156.88,94.1111111111,4.02139206943,-1.50990331349e-14,2.97583013138
213,4.02098221884,0.337901778116,0.74,157.62,94.0833333333,4.02098221884,-2.39808173319e-14,2.97552684194
214,4.02057394149,0.337942605851,0.74,158.36,94.0555555556,4.02057394149,-3.99680288865e-14,2.9752247167
215,4.02016722552,0.337983277448,0.74,159.1,94.0277777778,4.02016722552,-3.64153152077e-14,2.97492374689
216,4.01976205914,0.338023794086,0.74,159.84,94,4.01976205914,-4.61852778244e-14,2.97462392376
217,4.01935843065,0.338064156935,0.74,160.58,93.9722222222,4.01935843065,-1.86517468137e-14,2.97432523868
218,4.01895632846,0.338104367154,0.74,161.32,93.9444444444,4.01895632846,-2.39808173319e-14,2.97402768306
219,4.01855574103,0.338144425897,0.74,162.06,93.9166666667,4.01855574103,-2.39808173319e-14,2.97373124836
220,4.01815665694,0.338184334306,0.74,162.8,93.8888888889,4.01815665694,-3.73034936274e-14,2.97343592614
221,4.01775906484,0.338224093516,0.74,163.54,93.8611111111,4.01775906484,-8.881784197e-15,2.97314170798
222,4.01736295348,0.338263704652,0.74,164.28,93.8333333333,4.01736295348,-3.01980662698e-14,2.97284858557
223,4.01696831166,0.338303168834,0.74,165.02,93.8055555556,4.01696831166,-2.13162820728e-14,2.97255655063
224,4.01657512832,0.338342487168,0.74,165.76,93.7777777778,4.01657512832,-8.881784197e-16,2.97226559496
225,4.01618339243,0.338381660757,0.74,166.5,93.75,4.01618339243,-1.33226762955e-14,2.9719757104
226,4.01579309308,0.338420690692,0.74,167.24,93.7222222222,4.01579309308,5.3290705182e-15,2.97168688888
227,4.01540421942,0.338459578058,0.74,167.98,93.6944444444,4.01540421942,-2.57571741713e-14,2.97139912237
228,4.01501676069,0.338498323931,0.74,168.72,93.6666666667,4.01501676069,-1.95399252334e-14,2.97111240291
229,4.01463070621,0.338536929379,0.74,169.46,93.6388888889,4.01463070621,8.881784197e-16,2.9708267226
230,4.01424604539,0.338575395461,0.74,170.2,93.6111111111,4.01424604539,2.6645352591e-15,2.97054207359
231,4.0138627677,0.33861372323,0.74,170.94,93.5833333333,4.0138627677,-9.7699626167e-15,2.9702584481
232,4.01348086272,0.338651913728,0.74,171.68,93.5555555556,4.01348086272,-3.64153152077e-14,2.96997583841
233,4.01310032007,0.338689967993,0.74,172.42,93.5277777778,4.01310032007,9.7699626167e-15,2.96969423685
234,4.01272112948,0.338727887052,0.74,173.16,93.5,4.01272112948,-1.59872115546e-14,2.96941363582
235,4.01234328075,0.338765671925,0.74,173.9,93.4722222222,4.01234328075,7.1054273576e-15,2.96913402775
236,4.01196676373,0.338803323627,0.74,174.64,93.4444444444,4.01196676373,1.59872115546e-14,2.96885540516
237,4.0115915684,0.33884084316,0.74,175.38,93.4166666667,4.0115915684,1.24344978758e-14,2.96857776061
238,4.01121768476,0.338878231524,0.74,176.12,93.3888888889,4.01121768476,-7.9936057773e-15,2.96830108672
239,4.01084510292,0.338915489708,0.74,176.86,93.3611111111,4.01084510292,2.6645352591e-15,2.96802537616
240,4.01047381306,0.338952618694,0.74,177.6,93.3333333333,4.01047381306,-6.2172489379e-15,2.96775062167
241,4.01010380543,0.338989619457,0.74,178.34,93.3055555556,4.01010380543,-2.39808173319e-14,2.96747681602
242,4.00973507034,0.339026492966,0.74,179.08,93.2777777778,4.00973507034,1.86517468137e-14,2.96720395205
243,4.00936759819,0.339063240181,0.74,179.82,93.25,4.00936759819,1.42108547152e-14,2.96693202266
244,4.00900137946,0.339099862054,0.74,180.56,93.2222222222,4.00900137946,0,2.9666610208
245,4.00863640468,0.339136359532,0.74,181.3,93.1944444444,4.00863640468,-7.9936057773e-15,2.96639093946
246,4.00827266446,0.339172733554,0.74,182.04,93.1666666667,4.00827266446,8.881784197e-16,2.9661217717
