t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
2163,3.5946122368448,0.38053877631552,0.74,1600.62000000002,3.59461223684481,9.76996261670138e-15
2164,3.59436112897617,0.380563887102383,0.74,1601.36000000002,3.59436112897615,-2.8421709430404e-14
2165,3.59410962498629,0.380589037501371,0.74,1602.10000000002,3.59410962498628,-5.32907051820075e-15
2166,3.59385772171888,0.380614227828112,0.74,1602.84000000002,3.59385772171888,2.22044604925031e-15
2167,3.59360541599244,0.380639458400756,0.74,1603.58000000002,3.59360541599245,3.99680288865056e-15
2168,3.59335270460016,0.380664729539984,0.74,1604.32000000002,3.59335270460015,-1.50990331349021e-14
2169,3.59309958430958,0.380690041569042,0.74,1605.06000000002,3.5930995843096,1.4210854715202e-14
2170,3.59284605186267,0.380715394813734,0.74,1605.80000000002,3.59284605186265,-1.73194791841524e-14
2171,3.59259210397522,0.380740789602478,0.74,1606.54000000002,3.59259210397519,-3.06421554796543e-14
2172,3.59233773733695,0.380766226266305,0.74,1607.28000000002,3.59233773733695,6.21724893790088e-15
2173,3.59208294861128,0.380791705138872,0.74,1608.02000000002,3.59208294861129,7.99360577730113e-15
2174,3.59182773443496,0.380817226556504,0.74,1608.76000000002,3.59182773443495,-8.43769498715119e-15
2175,3.5915720914179,0.38084279085821,0.74,1609.50000000002,3.59157209141791,6.21724893790088e-15
2176,3.59131601614311,0.380868398385689,0.74,1610.24000000002,3.59131601614311,3.5527136788005e-15
2177,3.5910595051663,0.38089404948337,0.74,1610.98000000002,3.59105950516629,-6.66133814775094e-15
2178,3.5908025550157,0.38091974449843,0.74,1611.72000000002,3.59080255501572,2.48689957516035e-14
2179,3.59054516219203,0.380945483780797,0.74,1612.46000000002,3.59054516219202,-4.44089209850063e-15
2180,3.59028732316796,0.380971267683204,0.74,1613.20000000002,3.59028732316793,-2.57571741713036e-14
2181,3.59002903438807,0.380997096561193,0.74,1613.94000000002,3.59002903438807,2.66453525910038e-15
2182,3.58977029226872,0.381022970773128,0.74,1614.68000000002,3.58977029226874,1.64313007644523e-14
2183,3.5895110931977,0.38104889068023,0.74,1615.42000000002,3.58951109319769,-1.06581410364015e-14
2184,3.58925143353386,0.381074856646614,0.74,1616.16000000002,3.58925143353388,1.59872115546023e-14
2185,3.58899130960725,0.381100869039275,0.74,1616.90000000002,3.58899130960725,-8.88178419700125e-16
2186,3.58873071771851,0.381126928228149,0.74,1617.64000000002,3.58873071771852,1.37667655053519e-14
2187,3.58846965413892,0.381153034586108,0.74,1618.38000000002,3.58846965413891,-7.105427357601e-15
2188,3.58820811510995,0.381179188489005,0.74,1619.12000000002,3.58820811510995,-2.66453525910038e-15
2189,3.58794609684318,0.381205390315682,0.74,1619.86000000002,3.5879460968432,1.28785870856518e-14
2190,3.58768359552002,0.381231640447998,0.74,1620.60000000002,3.58768359552004,2.44249065417534e-14
2191,3.58742060729142,0.381257939270858,0.74,1621.34000000002,3.58742060729145,2.75335310107039e-14
2192,3.58715712827771,0.381284287172229,0.74,1622.08000000002,3.5871571282777,-1.33226762955019e-14
2193,3.58689315456817,0.381310684543183,0.74,1622.82000000002,3.58689315456816,-9.76996261670138e-15
2194,3.58662868222103,0.381337131777897,0.74,1623.56000000002,3.58662868222106,2.97539770599542e-14
2195,3.58636370726322,0.381363629273678,0.74,1624.30000000002,3.5863637072632,-1.68753899743024e-14
2196,3.58609822568974,0.381390177431026,0.74,1625.04000000002,3.58609822568972,-1.37667655053519e-14
2197,3.58583223346386,0.381416776653614,0.74,1625.78000000002,3.58583223346387,7.99360577730113e-15
2198,3.58556572651671,0.381443427348329,0.74,1626.52000000002,3.58556572651671,3.10862446895044e-15
2199,3.5852987007469,0.38147012992531,0.74,1627.26000000002,3.58529870074689,-1.55431223447522e-14
2200,3.58503115202038,0.381496884797962,0.74,1628.00000000002,3.58503115202038,2.66453525910038e-15
2201,3.58476307617022,0.381523692382978,0.74,1628.74000000002,3.58476307617021,-6.66133814775094e-15
2202,3.58449446899624,0.381550553100376,0.74,1629.48000000002,3.58449446899621,-2.75335310107039e-14
2203,3.58422532626474,0.381577467373526,0.74,1630.22000000002,3.58422532626474,-3.99680288865056e-15
2204,3.58395564370841,0.381604435629159,0.74,1630.96000000002,3.58395564370842,1.06581410364015e-14
2205,3.58368541702589,0.381631458297411,0.74,1631.70000000002,3.58368541702587,-1.99840144432528e-14
2206,3.58341464188143,0.381658535811857,0.74,1632.44000000002,3.58341464188145,1.33226762955019e-14
2207,3.58314331390494,0.381685668609506,0.74,1633.18000000002,3.58314331390495,6.66133814775094e-15
2208,3.58287142869139,0.381712857130861,0.74,1633.92000000002,3.58287142869135,-3.64153152077051e-14
